"filename", "language", "Python", "C++", "PowerShell", "Markdown", "Shell Script", "Properties", "HTML", "reStructuredText", "JavaScript", "PostCSS", "XML", "JSON", "comment", "blank", "total"
"/home/david/DVHS Robotics/bubonic-corona/README.md", "Markdown", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 76
"/home/david/DVHS Robotics/bubonic-corona/boundary.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 13
"/home/david/DVHS Robotics/bubonic-corona/build/main/xref-main.html", "HTML", 0, 0, 0, 0, 0, 0, 6980, 0, 0, 0, 0, 0, 0, 1504, 8484
"/home/david/DVHS Robotics/bubonic-corona/config.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 35
"/home/david/DVHS Robotics/bubonic-corona/cppread.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 28
"/home/david/DVHS Robotics/bubonic-corona/dist/path.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/david/DVHS Robotics/bubonic-corona/main.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 48
"/home/david/DVHS Robotics/bubonic-corona/path.cpp", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/david/DVHS Robotics/bubonic-corona/relativity.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 16
"/home/david/DVHS Robotics/bubonic-corona/render.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 16, 69
"/home/david/DVHS Robotics/bubonic-corona/venv/bin/Activate.ps1", "PowerShell", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 34, 248
"/home/david/DVHS Robotics/bubonic-corona/venv/bin/activate.csh", "Shell Script", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 11, 28
"/home/david/DVHS Robotics/bubonic-corona/venv/bin/activate.fish", "Shell Script", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 14, 14, 70
"/home/david/DVHS Robotics/bubonic-corona/venv/include/site/python3.12/pygame/_blit_info.h", "C++", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 22
"/home/david/DVHS Robotics/bubonic-corona/venv/include/site/python3.12/pygame/_camera.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 4, 27
"/home/david/DVHS Robotics/bubonic-corona/venv/include/site/python3.12/pygame/_pygame.h", "C++", 0, 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 43, 375
